audit_label	audit_reasons	case_id	transition	old_state	new_state	proposition_text	mention_text	mention_label	evidence_text
good	evidence_contains_recurrent_cue;recurrence_cue_present	28100235	recurrent	not_mentioned	recurrent	patient has chest	chest	Biological_structure	CT of his chest, abdomen and pelvis revealed extensive tumour recurrence adjacent to the previous resection site (Fig.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25759562	introduced	not_mentioned	confirmed	patient has ultrasound	ultrasound	Diagnostic_procedure	Three years prior, the patient was incidentally diagnosed with idiopathic BCS during health checkup; Doppler ultrasound (US) examination showed obstruction of the middle and left hepatic veins, and investigations for underlying thrombophilia were unremarkable.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	24781756	introduced	not_mentioned	confirmed	patient has occipital region	occipital region	Biological_structure	Subsequently, head circumference grew rapidly adding 13 centimeters by age 35 days, repeated brain US revealed dilated ventricles confirmed by head CT, which also showed subcortical and white matter cortical hemorrhage in the occipital region.
bad_proposition	empty_or_too_short_proposition;very_short_single_token;evidence_contains_introduced_cue;introduced_from_not_mentioned	19816630	introduced	not_mentioned	supported	patient has T2	T2	Detailed_description	The MRI revealed an invasive rectal mass involving the muscularis propria but without breach of the adventitia, consistent with a T2 rectal carcinoma (Figure 1).
good	introduced_from_not_mentioned	28196820	introduced	not_mentioned	suspected	patient has According to the literature, Jarcho-Levin syndrome does not appear with mental retardation and life expectancy is pretty long, so ethically, we considered that this patient should have an opportunity to overcome his thoracic insufficiency if it were technically possible	According to the literature, Jarcho-Levin syndrome does not appear with mental retardation and life expectancy is pretty long, so ethically, we considered that this patient should have an opportunity to overcome his thoracic insufficiency if it were technically possible	Other_entity	According to the literature, Jarcho-Levin syndrome does not appear with mental retardation and life expectancy is pretty long, so ethically, we considered that this patient should have an opportunity to overcome his thoracic insufficiency if it were technically possible.
bad_transition	treated_without_clear_treatment_cue	28403092	treated	not_mentioned	treated	patient has 3 days before the operation	3 days before the operation	Date	Five hundred milligrams of VPA twice per day was initiated 3 days before the operation.
ambiguous	evidence_contains_introduced_cue;introduced_from_not_mentioned;introduced_but_treatment_cue_present	24654246	introduced	not_mentioned	confirmed	patient has HIV	HIV	Disease_disorder	She was diagnosed with HIV around May 2010 and had been on antiretroviral therapy.
good	introduced_from_not_mentioned	25759562	introduced	not_mentioned	suspected	patient has outflow	outflow	Detailed_description	Although the patient had no ascites or variceal bleeding, the decision was made to create a TIPS to relieve hepatic venous outflow obstruction because of increasing pain and concern for complications due to aneurysm size; direct approach to the aneurysm was not considered due to risk of associated complications in the setting of portal hypertension, and stent-grafting was not considered due to concerns about patency in the settings of hepatic venous outflow obstruction and underlying thrombophilia.
good	evidence_contains_recurrent_cue;recurrence_cue_present	19816630	recurrent	not_mentioned	recurrent	patient has cancer	cancer	Disease_disorder	Due to the previous high-grade dysplasia, relatively rapid recurrence and concern that a cancer may have been missed by sampling error, a pelvic magnetic resonance imaging (MRI) scan and an endoscopic ultrasound (EUS) were performed before definitive excision.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	28079821	ruled_out	not_mentioned	ruled_out	patient has Bone marrow examination	Bone marrow examination	Diagnostic_procedure	Bone marrow examination during hospitalization showed hypocellular marrow with a marked decrease in myeloid component but no evidence of hematologic neoplasms.
bad_proposition	pronoun_or_context_word_as_proposition;likely_contextual_nonclinical_proposition;weak_mention_span;known_bad_or_contextual_span;evidence_contains_treated_cue;treatment_cue_present	28154281	treated	not_mentioned	treated	patient has discharged	discharged	Clinical_event	Posaconazole was administered as a secondary prophylactic treatment and the patient was discharged from hospital.
good	introduced_from_not_mentioned	25661749	introduced	not_mentioned	suspected	patient has normal	normal	Lab_value	A 68-year-old man was referred by his optometrist to HES with suspected LTG due to repeatedly irregular visual field test results, advanced optic disc cupping, normal intraocular pressures (IOPs) and a family history of glaucoma.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	26457578	introduced	not_mentioned	confirmed	patient has radiation-induced	radiation-induced	Detailed_description	At age 6 years, she was diagnosed with radiation-induced central hypothyroidism and growth hormone deficiency (GHD).
bad_proposition	pronoun_or_context_word_as_proposition;likely_contextual_nonclinical_proposition;weak_mention_span;evidence_contains_treated_cue;treatment_cue_present	28207542	treated	not_mentioned	treated	patient has admission	admission	Clinical_event	INH (200 mg/d, intravenously guttae) was administered on 24 days after admission (December 11, 2015), while his liver function tests and platelet counts returned to normal.
good	introduced_from_not_mentioned	27821134	introduced	not_mentioned	confirmed	patient has fiberoptic	fiberoptic	Detailed_description	During fiberoptic intubation laryngeal spasm was confirmed visually.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	27196481	ruled_out	not_mentioned	ruled_out	patient has CD1a	CD1a	Diagnostic_procedure	Morphological analysis demonstrated the accumulation of foamy histiocytes that were positive for CD68 and negative for the dendritic cell markers CD1a and S100, surrounded by fibrosis and a scanty lympho-monocytic infiltrate (Figure ​(Figure1).
good	evidence_contains_treated_cue;treatment_cue_present	28207542	treated	not_mentioned	treated	patient has nutrition supportive treatment	nutrition supportive treatment	Therapeutic_procedure	Besides fasting, he was initiated with infusion of fresh-frozen plasma, platelet, packed red blood cells, intravenous immune globulin, recombinant human thrombopoietin, omeprazole, and polyene phosphatidylcholine as well as nutrition supportive treatment.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25370695	introduced	not_mentioned	confirmed	patient has relatively well-defined	relatively well-defined	Detailed_description	Full mouth dental X-rays and a panoramic radiograph were taken and showed relatively well-defined radiolucent lesions in multiple regions of the mandible bilaterally, with a pseudocystic (multilocular) appearance; cone-beam computed tomography confirmed these findings and revealed a large lytic lesion of her left posterior mandible in the region of her chief complaint (Figure 1).
good	evidence_contains_treated_cue;treatment_cue_present	27661040	treated	not_mentioned	treated	patient has one in the morning and one in the evening	one in the morning and one in the evening	Dosage	2 μg/dL), and chelation therapy with EDTA (4 days before the admission in our clinic) was initiated, with a dose of 2 tablets daily, one in the morning and one in the evening associated with calcium supplements.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	18787726	introduced	not_mentioned	supported	patient has leads V2 to V6	leads V2 to V6	Diagnostic_procedure	An initial electrocardiogram revealed ST depression in leads V2 to V6, suggestive of anterolateral ischemia (Figure 1).
good	introduced_from_not_mentioned	26309459	introduced	not_mentioned	confirmed	patient has anastomotic branch	anastomotic branch	Biological_structure	Cerebral angiography confirmed a dissecting aneurysm of an anastomotic branch between left PICA and the V4 segment of left vertebral artery Figure 2 that was successfully embolized.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	26457578	introduced	not_mentioned	suspected	patient has Radiographs	Radiographs	Diagnostic_procedure	Radiographs revealed poorly visualized growth plates in both distal and proximal femurs and tibias (Figure 2A-B), raising concern for premature closure of the physes.
good	evidence_contains_treated_cue;treatment_cue_present	27218632	treated	not_mentioned	treated	patient has TPN	TPN	Therapeutic_procedure	He received zinc supplementation in his TPN, and within one month, the patient had complete resolution of rash and fatigue, and gradual return of hair growth (Figure 2).
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	26313770	ruled_out	not_mentioned	ruled_out	patient has positive	positive	Lab_value	Concomitant autoimmune connective tissue diseases such as systemic lupus erythematosus or cryoglobulinemia were excluded due to negative anti-nuclear antibody and cryoglobulin except for positive anti-cardiolipin IgG (116 GPL, normal range <20 GPL) and anti-phospholipid IgG (165 U, normal range <15 U).
good	evidence_contains_improving_cue;improvement_cue_present	26714786	improving	not_mentioned	improving	patient has transfusions	transfusions	Therapeutic_procedure	At 6 months follow-up, her baseline hemoglobin had improved to 102 g/L and she was requiring transfusions every 4 months with her hematologist’s intent to stop the transfusions if her hemoglobin remained greater than 100 g/L.
good	introduced_from_not_mentioned	28353556	introduced	not_mentioned	supported	patient has maximal	maximal	Detailed_description	Despite maximal ventilatory support, gas exchange did not improve (pH 7.
good	evidence_contains_recurrent_cue;recurrence_cue_present	23077697	recurrent	not_mentioned	recurrent	patient has 18 months later	18 months later	Date	A local recurrence was observed 18 months later; the patient was admitted to our institution for Lumpectomy (Figure 1).
bad_transition	treated_without_clear_treatment_cue	20146086	treated	not_mentioned	treated	patient has 1200 mg	1200 mg	Lab_value	Therefore, to increase CSF penetrance over standard daily erlotinib dosing in this patient, we initiated high-dose weekly erlotinib at 1000 mg then 1200 mg; persistent nausea precluded higher doses.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	23035161	ruled_out	not_mentioned	ruled_out	patient has negative	negative	Lab_value	The negative cardiolipin test excluded tabetic crises.
good	evidence_contains_resolved_cue;resolution_cue_present	22520024	resolved	not_mentioned	resolved	patient has retroperitoneal	retroperitoneal	Biological_structure	Postradiation imaging revealed near complete resolution of the retroperitoneal mass.
good	evidence_contains_improving_cue;improvement_cue_present	28353613	improving	not_mentioned	improving	patient has died	died	Outcome	However, the patient was not improved as expected and eventually died from severe respiratory insufficiency on the 13th hospital day.
good	evidence_contains_confirmed_cue	25661749	confirmed	suspected	confirmed	patient has normal	normal	Lab_value	Furthermore, the findings from the referring optometrist of equal and reactive pupils, normal eye movements and IOPs in mid-teens were confirmed.
good	introduced_from_not_mentioned	28202865	introduced	not_mentioned	suspected	patient has DAH	DAH	Disease_disorder	Following the above-mentioned examinations, DAH due to some sort of vasculitis was suspected.
good	evidence_contains_improving_cue;improvement_cue_present	18258107	improving	not_mentioned	improving	patient has much improved hearing	much improved hearing	Sign_symptom	Two months after discharge, the patient reported much improved hearing without other sequelae.
good	evidence_contains_treated_cue;treatment_cue_present	25155594	treated	not_mentioned	treated	patient has Houston Methodist Hospital	Houston Methodist Hospital	Nonbiological_location	He was treated with ceftaroline at an outside hospital immediately prior to transfer to Houston Methodist Hospital.
bad_transition	improving_without_clear_improvement_cue	25721834	improving	not_mentioned	improving	patient has anaemia	anaemia	Sign_symptom	Carnitine, vitamin A, thiamine, pyridoxine, folate and uridine were supplemented without improvement in his anaemia.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	25759562	introduced	not_mentioned	confirmed	patient has 1, 3, 6, and 12 mo postprocedure	1, 3, 6, and 12 mo postprocedure	Date	Most recent laboratory tests revealed normal liver function, and Doppler US examination performed at 1, 3, 6, and 12 mo postprocedure confirmed a patent shunt.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	20146086	introduced	not_mentioned	supported	patient has CNS disease	CNS disease	Disease_disorder	She initiated empiric temozolomide plus standard dose erlotinib (150 mg daily) for presumed CNS disease, but after one cycle her headaches worsened, and she developed nausea and vomiting concerning for CNS metastases with associated raised intracranial pressure.
good	evidence_contains_treated_cue;treatment_cue_present	28403099	treated	not_mentioned	treated	patient has unresectable	unresectable	Detailed_description	The patient with unresectable masses had hypertension over 10 years and chronic HBV-related cirrhosis for 30 years when he was treated with lamivudine 100 mg qd, and adefovir dipivoxil 10 mg qd for 6 years.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	25370695	ruled_out	not_mentioned	ruled_out	patient has malignancy	malignancy	Sign_symptom	There was no evidence of abscess or neutrophils, granuloma or malignancy.
good	introduced_from_not_mentioned	28272214	introduced	not_mentioned	possible	patient has 42 Gy/14 fractions	42 Gy/14 fractions	Dosage	To relieve the acute pain in the left pleura as quickly as possible, palliative three-dimensional conformal radiotherapy (3D-CRT) for the chest lesion was delivered at a total dose of 42 Gy/14 fractions (f), once daily and 5f/week (Fig.
good	evidence_contains_treated_cue;treatment_cue_present	27842595	treated	not_mentioned	treated	patient has every 2 weeks for 5 months	every 2 weeks for 5 months	Frequency	Postoperatively, a regimen of 5-fluorouracil (5-FU), leucovorin, and oxaliplatin (FOLFOX) was administered every 2 weeks for 5 months.
ambiguous	no_clear_transition_cue	28422883	no_change	treated	treated	patient has chemoradiotherapy	chemoradiotherapy	Therapeutic_procedure	Because the patient just received neoadjuvant chemoradiotherapy a few months ago, the flaps harvested from chest area were not appropriate because the pedicle arteries might have been injured by irradiation.
bad_proposition	empty_or_too_short_proposition;very_short_single_token;evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	24654246	ruled_out	not_mentioned	ruled_out	patient has CT	CT	Diagnostic_procedure	CT of the chest revealed thickening of the pericardium with no evidence of calcification.
good	evidence_contains_improving_cue;improvement_cue_present	21672201	improving	not_mentioned	improving	patient has preliminary	preliminary	Detailed_description	A preliminary incision out from the hole improved exposure for the definitive excision.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	28154281	ruled_out	treated	ruled_out	patient has negative	negative	Lab_value	All of the symptoms were relieved and the final chest CT scan showed negative results before the discontinuation of anti-fungal therapy, and all of the tests were negative for Aspergillus.
good	introduced_from_not_mentioned	26629302	introduced	not_mentioned	confirmed	patient has biphasic pattern	biphasic pattern	Detailed_description	A trans-oral incisional biopsy of the left palatal mass was performed and was suggestive of a preliminary diagnosis of mesenchymal chondrosarcoma, as evidenced by a biphasic pattern featuring sheets of small round cells with hemangiopericytoma-like vascular pattern and mature cartilaginous islands.
good	introduced_from_not_mentioned	26257516	introduced	not_mentioned	confirmed	patient has sensory-motor neuropathy	sensory-motor neuropathy	Disease_disorder	Nerve conduction studies confirmed bilateral sensory-motor neuropathy (Table 1).
good	evidence_contains_recurrent_cue;recurrence_cue_present	26216058	recurrent	not_mentioned	recurrent	patient has MRI	MRI	Diagnostic_procedure	There were no signs of tumour recurrence on the MRI scan.
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	19860925	introduced	not_mentioned	confirmed	patient has biopsy	biopsy	Diagnostic_procedure	The bronchoscopy (Figure ​2) with non-bleeding biopsy revealed a mass of the lower right bronchus which histologically and immunohistologically provided evidence of a granular cell or Abrikossoff tumor [1].
good	evidence_contains_resolved_cue;resolution_cue_present	28353556	resolved	not_mentioned	resolved	patient has renal function	renal function	Diagnostic_procedure	Treatment with high-dose methylprednisolone (1 g daily for 3 consecutive days) and rituximab (375 mg/m2 weekly for 4 weeks) was started with rapid resolution of urologic and pulmonary involvement but delayed and partial improvement of renal function.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	27196481	ruled_out	not_mentioned	ruled_out	patient has BCR-ABL1 rearrangement	BCR-ABL1 rearrangement	Sign_symptom	Molecular studies were negative for the BCR-ABL1 rearrangement, but revealed the JAK2V617F mutation with an allele burden of 44.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	24957905	ruled_out	not_mentioned	ruled_out	patient has metastases	metastases	Disease_disorder	An initial workup revealed localized cancer with no evidence of distant metastases.
good	evidence_contains_improving_cue;improvement_cue_present	18561524	improving	not_mentioned	improving	patient has New York Heart Association	New York Heart Association	Detailed_description	In March 2007, his clinical status was improved and he was in function class II (New York Heart Association) with an EF estimated by echocardiography to 30%–35%.
good	evidence_contains_ruled_out_cue;negation_or_exclusion_cue_present	21923918	ruled_out	not_mentioned	ruled_out	patient has bone-marrow	bone-marrow	Biological_structure	A bone-marrow biopsy was negative for metastatic involvement.
good	evidence_contains_improving_cue;improvement_cue_present	21672201	improving	not_mentioned	improving	patient has hole	hole	Sign_symptom	A preliminary incision out from the hole improved exposure for the definitive excision.
bad_transition	improving_without_clear_improvement_cue	26309459	improving	not_mentioned	improving	patient has diffuse	diffuse	Detailed_description	Because of non-improvement of neurological status and occurrence of seizures, a brain CT was indicated and revealed infratentorial diffuse hemorrhage (Fisher grade III) (Figure 1).
good	evidence_contains_introduced_cue;introduced_from_not_mentioned	23468586	introduced	not_mentioned	confirmed	patient has symptoms	symptoms	Sign_symptom	She was first diagnosed with nonischemic cardiomyopathy at age 10 years, when she presented with symptoms of congestive heart failure and transthoracic echocardiography (TTE) revealed severe left ventricular (LV) dysfunction.
good	evidence_contains_treated_cue;treatment_cue_present	23124805	treated	not_mentioned	treated	patient has intravenous	intravenous	Administration	However, ocular inflammation persisted despite the addition of local steroid injections and repeated intravenous (IV) bolus methylprednisolone treatment; therefore, when the patient was age 10 years, infliximab (initially at 5 mg/kg increased to 10 mg/kg IV every 4 to 6 weeks) was initiated.
